Sku,Title,Price,Regular Price,Product categories,Sub,Sub Sub,img
16-872,3-Hole Stainless Steel Hook,29,30,Storage and Organization,Home Storage Hooks,Hooks,https://fixit.com.bd/wp-content/uploads/2020/02/16-872.jpg
16-926,3 Inch Royal Bolt,48,48,Tools and Hardware,Screws Nails and Anchors,Anchors,https://fixit.com.bd/wp-content/uploads/2020/02/16-926.jpg
26-2982,1.5 Volts AA-Size Battery Duracell Brand,29,30,Electrical,Batteries,Household Batteries,https://fixit.com.bd/wp-content/uploads/2020/02/26-2982.jpg
29-182,1 Inch Black Color PVC Tape Scapa Brand Electrical Insulation,43,43,Storage and Organization,Office Supplies,Adhesives and Tape,https://fixit.com.bd/wp-content/uploads/2020/02/29-082.jpg
05-550,Off-white Color Plastic Door Wedge HMBR Brand to Hold Door Open,31,33,Doors and Windows,Entry Doors,Door Accessories,https://fixit.com.bd/wp-content/uploads/2020/02/05-550.jpg
05-865,2 Pcs off-white Color Rubber Door Buffer Set HMBR Brand to Protect your wall from Damage,31,33,Doors and Windows,Entry Doors,Door Accessories,https://fixit.com.bd/wp-content/uploads/2020/02/05-865.jpg
20-848,Stainless Steel Dish Cable Connector,31,33,Electrical,Home Electronics,AV Cables and Connectors,https://fixit.com.bd/wp-content/uploads/2020/02/20-848.jpg
26-1498,500 gm Lemon Scented Dishwashing Powder Freshtone Brand,31,33,Cleaning,Household Cleaners,Dishwasher Detergent and Soap,https://fixit.com.bd/wp-content/uploads/2020/02/26-1498.jpg
36-214,Round Corner Steel Woman Sticker,38,38,Doors and Windows,Door Signs,,https://fixit.com.bd/wp-content/uploads/2020/02/36-214.jpg
05-1182,25mm Stainless Steel Pipe Holder Wall Mounted Extension,29,29,Plumbing,Pipes and Fittings,Steel Pipe and Fittings,https://fixit.com.bd/wp-content/uploads/2020/02/05-1182.jpg
20-302,5.5 Inch Electric Tester HMBR Brand,36,38,Electrical,Electrical Tools and Accessories,Electrical Test Meter,https://fixit.com.bd/wp-content/uploads/2020/02/20-302.jpg
26-1409,Plastic Square-Type Funnel great for Pouring Lubricant Water into Car,33,33,Tools and Hardware,Automotive Shop Equipment,Funnels Fluid Extractors and Siphons,https://fixit.com.bd/wp-content/uploads/2020/02/26-1409.jpg
26-475,6 Pcs Packet White Color Steel Pin Hanger Picture Hook HMBR Brand (Nail to Wall),33,33,Tools and Hardware,Fasteners,Picture and Mirror Hanging,https://fixit.com.bd/wp-content/uploads/2020/02/26-475.jpg
06-097,20mm Pad Lock Tico Brand,34,34,Tools and Hardware,Safety and Security,Pad Locks,https://fixit.com.bd/wp-content/uploads/2020/02/06-097.jpg
11-102,6 Inch Plastic Handle Triangular Slim Taper Hand File HMBR Brand,34,34,Tools and Hardware,Hand Tools,Flat File,https://fixit.com.bd/wp-content/uploads/2020/02/11-102.jpg
36-219,Single Retail Price Labeling Tag Roll,38,40,Storage and Organization,Office Supplies,Index Dividers &amp; Stamps,https://fixit.com.bd/wp-content/uploads/2020/02/36-219.jpg
36-378,Multi Color Easy Efficient Erasing Soft Eraser,38,40,Storage and Organization,Office Supplies,Erasers,https://fixit.com.bd/wp-content/uploads/2020/02/36-378.jpg
01-983,3mm Hexagonal/ LN key Douniushi Brand,48,48,Tools and Hardware,Hand Tools,Hex Keys,https://fixit.com.bd/wp-content/uploads/2020/02/01-983.jpg
05-196,2 Inch Black Color Plastic Table Gap for Cable In and Out,36,36,Kitchen,Tableware and Bar,Table Decor and Accents,https://fixit.com.bd/wp-content/uploads/2020/02/05-196.jpg
16-561,1.5 Inch (4 Pcs Packet) Metal L Type Hook Screw HMBR Brand,48,48,Tools and Hardware,Screws Nails and Anchors,Nails,https://fixit.com.bd/wp-content/uploads/2020/02/16-561.jpg
01-238,2 Inch Plastic Scraper Black Color,42,44,Lawn and Garden,Garden Tools,Snow Shovels and Scrapers,https://fixit.com.bd/wp-content/uploads/2020/02/01-238.jpg
26-2069,Green Color Plastic Handle Bottle Brush Plastic Bristle & Sponge head,43,46,Cleaning,Cleaning Tools and Supplies,Brush,https://fixit.com.bd/wp-content/uploads/2020/02/26-2069.jpg
16-679,10mm Metal Anchor Bolt HMBR Brand,40,40,Tools and Hardware,Screws Nails and Anchors,Anchors,https://fixit.com.bd/wp-content/uploads/2020/02/16-679.jpg
01-005,2 Pcs Screw Driver Set with Red Handle HMBR Brand,42,42,Tools and Hardware,Hand Tools,Screwdrivers,https://fixit.com.bd/wp-content/uploads/2020/02/01-005.jpg
11-006,7 Inch  x 6 mm Grinding Wheel HMBR Brand,47,47,Tools and Hardware,Power Tool Accessories,Saw Blades,https://fixit.com.bd/wp-content/uploads/2020/02/11-006.jpg
26-1063,3 Volts Lithium Battery Konnoc Brand,45,45,Electrical,Batteries,Household Batteries,https://fixit.com.bd/wp-content/uploads/2020/02/26-1063.jpg
16-953,50 mm x 50 mm x 2 mm Stainless Steel Angle Bracket,48,50,Building Materials,Builders Hardware,Corner Braces,https://fixit.com.bd/wp-content/uploads/2020/02/16-953.jpg
20-1205,12 Inch Size Off-White Color 50 Pcs Packet Cable Tie,48,50,Electrical,Electrical Tools and Accessories,Cable Tie,https://fixit.com.bd/wp-content/uploads/2020/02/20-1205.jpg
26-1528,4 Pcs Steel Wool Set for Cleaning Stubborn grease from Plates Dishes &amp; Bowls,45,45,Kitchen,Small Appliances,Scrubbers and Sponges,https://fixit.com.bd/wp-content/uploads/2020/02/26-1528.jpg
20-1172,AC 250V 6 Ampere E-27 Screw In White Color Bulb Holder,43,43,Electrical,Light Bulbs,LED Light Bulbs,https://fixit.com.bd/wp-content/uploads/2020/02/20-1172.jpg
